Date;Time;CO(GT);NMHC(GT);C6H6(GT);NOx(GT);NO2(GT);T;RH;AH
2005-01-01;00:00:00;-200,0;163,32485501545088;5,09617379719419;207,74952858559098;140,1252516723245;15,140045952093152;62,46542528161609;0,31797408813433087
2005-01-01;01:00:00;2,217610503078266;181,57967096579887;4,813302807644758;224,60276662169215;138,92503193851374;15,510829472706865;58,47100250835311;0,3114499386847227
2005-01-01;02:00:00;2,0618707759245383;180,07742456334117;4,841771431174491;195,6371479268948;147,89843316969197;15,215505409058393;59,78670034319937;0,2928023414184765
2005-01-01;03:00:00;-200,0;163,70804155895232;5,228424742262773;203,20740324556303;133,48900770310044;15,620314995251324;61,23955274734522;0,32236806208069074
2005-01-01;04:00:00;1,9584353552185765;177,3192981515365;4,917239252243562;211,6728138535369;145,54668527360099;15,600503891745193;59,32556113888492;0,32263634709241495
2005-01-01;05:00:00;1,6639169275539532;190,702846610756;5,4234885310479;199,9801729364191;146,5359557658429;15,742116941465332;58,125934602971505;0,3115314067125104
2005-01-01;06:00:00;1,9577715501829078;202,9563328836858;4,692164805235586;189,86230927151533;130,1924470663823;15,196909471248032;59,95778962139661;0,300453492497452
2005-01-01;07:00:00;2,0783352340659516;171,24358605708548;5,0669953621327215;190,3793488281608;134,4144071863716;15,581873370188084;58,6120086067433;0,307832302915174
2005-01-01;08:00:00;2,1147541129741767;186,14805718667128;4,791772631372141;218,95716684237493;132,81392197982726;15,850181904933178;-200,0;0,30366950820655314
2005-01-01;09:00:00;2,2940811031332;189,726925520084;5,117632169548067;188,4353242254492;152,69375083863017;14,091118381393901;57,425605183297556;0,25264796577764065
2005-01-01;10:00:00;1,6320790872297855;181,99195343424918;5,245304259685293;-200,0;136,77510200007075;14,936244954318205;54,82353912102666;0,28150704905396934
2005-01-01;11:00:00;1,7324533770668737;-200,0;4,884950301464757;218,84515715760887;107,92830657276521;15,991647524528997;59,62103197427826;0,3439579912384604
2005-01-01;12:00:00;2,16950293769143;173,94872995574522;5,32108619796537;189,3070098028142;119,0070349964667;15,12150294589768;56,76023171168193;0,28132587289278643
2005-01-01;13:00:00;1,9994091809965922;187,99394525034495;4,846281673766299;201,78475221289386;113,17767823648173;15,499736456708323;57,278711981549336;0,29621502926118726
