CO(GT),NO2(GT),NOx(GT),C6H6(GT),T,RH,AH,hour,day_of_week,month,is_weekend
2.119779184728245,140.1252516723245,207.74952858559095,5.09617379719419,15.140045952093152,62.46542528161609,0.3179740881343308,0.0,5.0,1.0,1
2.119779184728245,137.32111811245122,200.9964722605304,5.444339413294435,16.379251468645087,56.09467620091011,0.3008019134374404,0.0,5.0,1.0,1
2.337965099860924,133.32242201237875,221.9413113294072,5.066733284203554,16.535402639784976,60.47140834935514,0.3431381204176815,0.0,5.0,1.0,1
1.8447274145639607,128.71250527510608,205.99800901226112,5.139099920355454,15.655093353859638,59.37676325363436,0.3107450879169899,0.0,5.0,1.0,1
1.9550117213417608,127.9796288085896,226.2801104474712,4.645412573766379,16.843053406469345,58.30293323567963,0.3253011723553531,0.0,5.0,1.0,1
2.155040727148841,134.82061015847253,191.92095591941327,4.956236534602284,15.758666539635962,60.24898445004883,0.3057183624090809,0.0,5.0,1.0,1
2.015866455717453,143.4626295902907,186.27361782319448,5.501906084011415,15.60417270322914,58.08329377018046,0.291162526428873,0.0,5.0,1.0,1
2.096601273164205,146.2442285898774,230.1453949016506,5.064741683047628,16.6119668086389,57.715952155984326,0.3099607103407611,0.0,5.0,1.0,1
2.119779184728245,127.60367654812067,197.59367706273645,5.470612239270617,15.332077715768186,56.66753178752022,0.288268625790195,0.0,5.0,1.0,1
2.1526208741280035,112.95019339356703,228.33859862552708,5.225232700011567,15.5804789048724,56.95306896678742,0.3035721866184994,0.0,5.0,1.0,1
1.999409180996592,113.17767823648173,201.78475221289384,4.846281673766299,15.499736456708323,57.278711981549336,0.2962150292611872,0.0,5.0,1.0,1
2.16950293769143,119.0070349964667,189.3070098028142,5.32108619796537,15.12150294589768,56.76023171168193,0.2813258728927864,0.0,5.0,1.0,1
2.022600733834271,127.92472516506184,198.1900616742489,4.858882989597797,16.118065290804502,57.99664791870359,0.33054373704971085,0.0,5.0,1.0,1
1.6320790872297857,136.77510200007077,211.6728138535369,5.245304259685293,14.936244954318203,54.82353912102666,0.2815070490539693,0.0,5.0,1.0,1
2.2940811031332,152.69375083863017,188.4353242254492,5.117632169548067,14.0911183813939,57.42560518329756,0.2526479657776406,0.0,5.0,1.0,1
2.1147541129741767,132.81392197982726,218.95716684237493,4.791772631372141,15.850181904933178,55.410905701381054,0.3036695082065531,0.0,5.0,1.0,1
2.078335234065952,134.4144071863716,190.3793488281608,5.0669953621327215,15.581873370188084,58.6120086067433,0.307832302915174,0.0,5.0,1.0,1
1.957771550182908,130.1924470663823,189.86230927151533,4.692164805235586,15.196909471248032,59.95778962139661,0.300453492497452,0.0,5.0,1.0,1
1.6639169275539532,146.5359557658429,199.9801729364191,5.4234885310479,15.742116941465332,58.12593460297151,0.3115314067125104,0.0,5.0,1.0,1
1.9584353552185765,145.546685273601,211.6728138535369,4.917239252243562,15.600503891745191,59.32556113888492,0.3226363470924149,0.0,5.0,1.0,1
2.119779184728245,133.48900770310044,203.20740324556303,5.228424742262773,15.620314995251324,61.23955274734522,0.3223680620806907,0.0,5.0,1.0,1
2.0618707759245383,147.89843316969197,195.6371479268948,4.841771431174491,15.215505409058393,59.78670034319937,0.2928023414184765,0.0,5.0,1.0,1
2.217610503078266,138.92503193851374,224.60276662169213,4.813302807644758,15.510829472706863,58.47100250835311,0.3114499386847227,0.0,5.0,1.0,1
1.7324533770668735,107.9283065727652,218.84515715760887,4.884950301464757,15.991647524528997,59.62103197427826,0.3439579912384604,0.0,5.0,1.0,1
1.870814552577944,123.95858081365208,228.2172458550133,5.486816196311124,17.24973428488562,59.699338636997375,0.3459653212744255,0.0,1.0,2.0,0
1.7584826056224625,125.00469647094904,229.0294152626581,5.185766678418028,16.996373404227825,59.30766264466184,0.3346647282636242,0.0,1.0,2.0,0
2.416902103732065,126.97969399846872,205.2996647373436,5.659191414952859,17.108103850715953,55.5334792193403,0.315842253442789,0.0,1.0,2.0,0
2.011829956842127,119.29085173655064,240.5221634690127,5.162627314485593,16.357345739603197,56.81415055752676,0.3047982974061961,0.0,1.0,2.0,0
2.05784011836398,126.22795187030842,197.20648107913155,5.734030740519109,16.807156951491084,55.75068842657564,0.3011676302253701,0.0,1.0,2.0,0
2.1901357434018807,122.4541184199728,207.72729140201704,5.280227255798609,17.339053487396168,57.142414402398046,0.33054373704971085,0.0,1.0,2.0,0
1.8828652657330895,125.60244201051914,217.28921100771092,5.262335876659524,16.92262914923124,54.43801311462105,0.3079756832987745,0.0,1.0,2.0,0
2.2322680941258577,121.46533742562532,183.2510439738463,6.117871585037998,16.899152363035352,55.46320350339524,0.3023489426484523,0.0,1.0,2.0,0
2.324529769415392,114.34706362624031,193.03009700040727,5.520362529689244,17.85732450420695,52.971299674247135,0.3252930725490611,0.0,1.0,2.0,0
1.8699628915390716,121.3513209086133,208.14666918374735,5.882529387338953,16.845639033798406,59.46421479652233,0.3427014330752005,0.0,1.0,2.0,0
2.160544142497473,122.63546461833866,189.21750317833536,4.7678449739058335,17.87512083477124,56.99412079424472,0.3214400592791905,0.0,1.0,2.0,0
2.214094902763441,121.94504416333776,216.93335290451952,5.427929506050178,17.152487595032152,56.75646147627258,0.3357393589816743,0.0,1.0,2.0,0
2.393362407072806,137.17868004864624,223.39018559873745,5.155862411190671,15.689570949996542,58.68233294685876,0.3194086575758363,0.0,1.0,2.0,0
2.2767426315496104,145.11521787895975,219.63234988316145,5.379417525789601,16.67120565710069,61.26414670111299,0.3549074295126415,0.0,1.0,2.0,0
2.0847964719373038,134.31055288858798,221.0749657677488,5.525348392057479,16.279707355864012,57.20362870172293,0.3101396340326187,0.0,1.0,2.0,0
1.6112002841704878,127.81550229765064,199.59227197914095,4.795988122458622,16.7722249177908,60.68028287059845,0.33054373704971085,0.0,1.0,2.0,0
1.6744996421061358,125.19350263803024,211.3252278862533,5.5817771260658695,16.66236391216156,59.00577616466949,0.3358915047794074,0.0,1.0,2.0,0
2.341074395644746,127.19188933724104,205.5706692598484,4.895743741354057,15.696469312141884,57.1601545338436,0.2946805162355909,0.0,1.0,2.0,0
2.26997942603709,138.11048114238758,179.054068083461,5.570220482871273,16.732805654477662,55.54505551814965,0.3115274065275658,0.0,1.0,2.0,0
1.6443737252346031,129.13043036497862,212.6389248682393,5.141501347804195,16.226341189364966,58.89359752782822,0.3353984646671901,0.0,1.0,2.0,0
2.127833962927037,133.02497681893004,199.8177562750254,4.881382783424612,15.879517655300816,55.557268052477,0.2866572649711369,0.0,1.0,2.0,0
2.0792071876866918,137.0463406934415,202.50751912122925,5.451196334312285,16.558723700713664,58.51529190003234,0.315121047592479,0.0,1.0,2.0,0
2.038203941309764,124.92826290036663,223.7590045844583,5.4750504089999,17.25409248544248,59.38290757756867,0.3544676648582178,0.0,1.0,2.0,0
2.159083094378211,134.0523540514422,195.08938201939247,4.917754821152012,16.433766829074493,55.163255613291,0.3143576633596023,0.0,1.0,2.0,0
1.9201078912125136,128.25076662092425,235.4976364503736,5.862306244026647,19.099413962243965,54.84295456964593,0.3551254920134561,0.0,1.0,3.0,0
1.9647154311861463,119.3649665200745,189.23326607876805,6.119500888913188,18.46225162170191,53.22331328501608,0.3441296208183687,0.0,1.0,3.0,0
1.988526947347797,127.02311628296842,194.57759953369435,5.387434132965482,17.832855667695753,59.64471174427242,0.3647615386457391,0.0,1.0,3.0,0
2.119779184728245,118.32186990291984,226.91948960636907,5.234654771819699,19.4987492636354,55.28698394908884,0.3511050843599285,0.0,1.0,3.0,0
2.293226847026863,148.6937931205188,211.6728138535369,5.900066243403595,18.35949986454685,55.93931158695573,0.3373422183939477,0.0,1.0,3.0,0
1.9080688635235,124.30134517804758,209.07818201924343,5.589740679692838,17.887673275643667,55.034018661686666,0.3418054492425332,0.0,1.0,3.0,0
1.8229083553943253,135.0500111451354,217.6157449034327,5.394186466319386,17.213231894394173,55.51981610688985,0.3179775864207025,0.0,1.0,3.0,0
2.364546936193859,144.88154140966438,218.17670286033064,5.277782842775659,18.034606331050945,55.410905701381054,0.3464173769001255,0.0,1.0,3.0,0
2.3544180072533747,130.2217062180152,214.00897820342715,5.289219775556677,18.03124708332531,57.47316386390506,0.3539229155848216,0.0,1.0,3.0,0
2.3520928027856804,131.10306399438676,221.19329798716657,5.352628683932349,17.95043744062092,54.826940024712336,0.3281785066374335,0.0,1.0,3.0,0
1.8271744974121,129.10427209017146,208.56671014727016,5.418554600302432,17.748681288650587,57.61474492416448,0.3344842591151338,0.0,1.0,3.0,0
2.248262889064744,119.9553211932142,234.9899445438734,5.467114555402255,18.132802715493398,58.99837363338967,0.3482048652610792,0.0,1.0,3.0,0
2.3258214074576067,109.84622422329478,240.2476036916485,5.978555764248664,17.276687854623905,56.98666166392311,0.33054373704971085,0.0,1.0,3.0,0
2.1644422213673984,125.71995919207616,214.35302572167487,5.488012132411477,16.36968703246626,54.954294051360144,0.3053200083903941,0.0,1.0,3.0,0
2.1800391342846765,135.92531371888813,189.76187695732128,5.241484370903842,17.872081902032278,58.38690274777176,0.3441291839468601,0.0,1.0,3.0,0
1.95549826065968,132.35397649638236,221.1255621906956,5.495268039676628,17.8240067824629,55.76118587926789,0.3297129996290903,0.0,1.0,3.0,0
2.119779184728245,127.63736030997646,214.64924144168236,5.755087038911624,17.284609060353205,55.410905701381054,0.3180641854466767,0.0,1.0,3.0,0
2.233483481825421,127.28489509579198,234.41254517180303,5.582310406865124,17.684524606581263,55.33270881706139,0.3112651932936731,0.0,1.0,3.0,0
2.2871767326174672,139.44438538308637,205.5356729311692,5.0970713455334575,17.376061835848184,51.92280326494421,0.2752963235255672,0.0,1.0,3.0,0
2.1115876398736013,123.64072220234064,199.82722796798444,4.875794665042532,17.29805259008063,55.98663200806664,0.3357103851299446,0.0,1.0,3.0,0
2.494572088052151,127.90782911178336,221.37701433545936,5.241186223844118,17.86849029789835,58.48853746739544,0.344167669813228,0.0,1.0,3.0,0
2.0101114249906264,118.39605605988656,218.19390523139728,5.104566404381586,17.643042213405973,57.78617169354749,0.3242839225821612,0.0,1.0,3.0,0
